абитуриент;выпускник
ратифицировать;отринуть
ратифицироваться;пошатнуться
рационализовать;ухудшить
рвать;начинать
реабилитация;репрессия
реагировать;игнорировать
реакционность;реформаторство
реакционный;реформаторский
реализовываться;покупаться
ребёнок;взрослый
ребро;мягкий
революционный;контрреволюционный
революция;контрреволюция
региональный;чужой
регрессировать;прогрессировать
регрессия;свобода
регулировка;разборка
редконаселённый;густонаселённый
редкостность;обычность
редкость;обыденность
редукция;увеличение
редуцировать;увеличивать
резвость;заторможенность
резкость;медлительность
результат;неудача
результативность;безрезультатность
результирующий;брутто
рекламный;порицать
рекомендательный;обязательный
рекомендовать;порицать
рекордный;минимальный
релятивный;безусловный
ремонтировать;ломать
ремонтироваться;портиться
рента;убыток
рентабельный;нерентабельный
реставрирование;разрушение
реставрироваться;нарушиться
ретроградство;прогрессивность
реформа;регресс
рефрактерность;подверженность
решать;расширять
решительный;промежуточный
ригидность;гибкость
рискованный;безопасный
ритурнель;начало
робкий;смелый
робость;смелость
рогатый;безрогий
родимый;чужой
родниться;отдаляться
родной;чужой
родоначальник;потомок
родственный;отличаться
рождаемость;смертность
рождаться;умирать
рождение;смерть
рок;фортуна
рок-музыка;фортуна
романтический;приземлённый
рост;убыток
ростовщический;созидать
роялти;включение
ругательный;благоприятный
руководить;подчиняться
рукоделие;отдых
рукопись;черновик
рукотворный;нерукотворный
рутин;расцвет
рутинность;гибкость
рушить;созидать
рушиться;создаваться
рыцарский;мещанский
рыцарь;мещанин
ряд;далёкий
рядышком;далёкий
саботаж;исполнение
самовыключение;включение
самодеятельный;профессиональный
самоновейший;старый
самоуправление;зависимость
самоутверждение;самоотрицание
санкционирование;запрещение
санкционировать;отринуть
санкция;запрещение
сатанинский;добрый
сбавка;надбавка
сбагрить;купить
сберегать;расходовать
сбережение;трата
сберечь;растратить
сбивать;тратить
сбиваться;рассредоточиваться
сбивчиво;последовательно
сбираться;расходиться
сбить;разобрать
сборник;копие
сборный;однородный
сбытие;покупка
сбыточность;недоступность
сбыточный;недостигаемый
свадьба;развод
сваливать;покупать
свалить;приехать
свара;перемирие
сведение;разделение
свежесть;духота
свезти;отвезти
свёртывание;развёртывание
свёртывать;развёртывать
светлеть;темнеть
светло;темно
световой;затемняться
свивать;развивать
свиваться;развиваться
свидание;разлука
свинцовый;мягкий
свинчивать;развинчивать
свободность;зависимость
сводимость;несводимость
сводить;несводимый
сводиться;отдаляться
своебытный;простой
своевольность;послушание
своенравие;послушание
своенравничать;соглашаться
своеобычность;сходство
свой;чужой
свойственный;несвойственный
связаться;разъединиться
связный;разладить
связываться;разъединяться
связь;разрозненность
святой;блудница
священнодействие;святотатство
священство;мирянин
сгибание;выпрямление
сговариваться;противоречить
сгребать;разгребать
сгрузка;погрузка
сгруппировать;разъединить
сгруппироваться;разъединиться
сгущать;разрежать
сгущение;разрежённость
сдавать;принимать
сдатчик;приёмщик
сдача;уход
сдвинуть;назначить
сдвоенный;одиночный
сдержанный;невоздержанный
сдерживать;возобновлять
сдержка;прибавка
сдружить;разъединить
сдружиться;раздружиться
север;юг
севернее;южнее
северный;южный
сегодня;завтра
сегодняшний;завтрашний
седлать;рассёдлывать
сезонность;равномерность
секретность;доступность
сексуальный;духовный
секущий;параллельный
селективно;огульно
селективный;всеохватывающий
селекционный;всеохватывающий
селище;город
село;город
сельскохозяйственный;промышленный
семантика;незначительность
сепаратность;совместность
сердечный;бессердечный
середина;периферия
серый;просветить
серьёзно;лёгкий
сеча;примирение
сжать;разжать
сживаться;отвыкать
сжиматься;разжиматься
сжиться;отвыкнуть
сзывать;увольнять
симметричный;асимметричный
симония;покупка
симультанность;разновременность
симультанный;разновременный
синкретичность;разобщённость
синтезирование;анализ
синус;уменьшение
система;часть
систематизация;рассогласованность
сиюминутность;медлительность
сиюминутный;долгий
скандалить;прославлять
скапливание;рассредоточение
скапливаться;рассредоточиваться
скапуститься;родиться
скапутиться;живой
скарификация;создание
скачкообразный;равномерный
скверный;правосторонний
сквозить;матовый
складность;разрозненность
складный;непропорциональный
склеивать;расклеивать
склёпывать;расклёпывать
склоняться;твёрдый
скользкость;достоверность
скомпрометировать;чистый
скончаться;воскреснуть
скоординировать;раскоординировать
скопление;рассредоточение
скорбный;развесёлый
скоропреходящий;долговременный
скрашивание;усложнение
скреплять;разъединять
скривить;прямая
скруглённый;прямая
скрутить;развернуть|раскрутить
скручивать;раскручивать
скудельный;прочный
скудеть;богатеть
скуднеть;богатеть
скудноватый;достаточный
скупка;продажа
слабо;более
слабина;выпуклость
слаборазвитость;развитость
слаборазвитый;развитый
сладенький;горький
сладкий;горький
следование;нарушение
слеза;улыбка
слепой;зрячий
слетаться;разлетаться
слово;субъект
словоохотливый;молчаливый
сложение;вычитание
сложный;простой
слом;создание
сломать;развёрнутый
сломить;проиграть
случай;закономерность
случайно;нарочно
случайность;произвольность
случаться;вдаваться
смазать;оригинальный
смак;бессмыслица
сматывать;разматывать
смелеть;робеть
смело;трусливо
смельчак;трус
сменяемый;неразъёмный
смесный;индивидуальный
сметание;создание
смехотворность;серьёзность
смешанность;единообразие
смешанный;однородный
смешаться;разделиться
смешение;разъединение
смешиваться;распутываться
смешливость;плаксивость
смешливый;плаксивый
смещение;назначение
смирение;восстание
смиренство;восстание
смирно;громкий
смирность;непокорность
смирный;буйный
смолкать;возникать
смотритель;заключённый
смывание;создание
смягчить;усилить
смягчиться;усилиться
смятение;спокойствие
снабжать;брать
снежный;бесснежный
снести;близкий
снискать;потерять
снисходительность;ухудшение
сносливый;нестойкий
соблюдение;нарушение
соболезнование;равнодушие
собрать;разобрать
совать;получать
совершенно;частично
совершенство;несовершенство
совершенствование;ухудшение
совершенствовать;ухудшать
совесть;бессовестность
совместиться;разойтись
совместно;порознь
совмещаться;разъединяться
совокупление;разложение
совокупность;противоречивость
совпадать;последовательный
совпасть;разойтись
согласно;вопреки
согласование;рассогласованность
согласоваться;спрашивать
согласовывать;раскоординировать
согнуть;разогнуть
согревать;выхолаживать
согреваться;стыть
содружество;разрозненность
соединённый;разобщённый
соединительный;демонтажный
соединить;разобщить
созвучие;дисгармония
созерцательность;активность
созидание;разрушение
созидатель;разрушитель
созидательный;разрушительный
сознание;бессознательность
сознательность;бессознательность
соизволение;запрещение
соизмеримый;непропорциональный
сокращать;увеличивать
сокращаться;растягиваться|увеличиваться
сокращённость;многословность
сокрытый;открытый
солдат;командир
солнечно;ненастно
солнце;тьма
сомкнуться;разъединиться
сообразность;неадекватность
сообщение;отрицание
сообщительность;замкнутость
соответствовать;неравносильный
соответчик;истец
соотечественница;иностранка
соотношение;равенство
соперничать;сотрудничать
сопоставимый;непропорциональный
сопревание;соединение
соприкасаться;далёкий
соразмерить;разбалансировать
соратник;противник
соратница;противница
сорвать;осуществить
сорваться;осуществиться
сорганизовать;распустить
сосредотачиваться;рассеиваться
сосредоточение;рассеивание
сосредоточенность;поверхностность
сосредоточенный;рассеянный
составляться;разбираться
составной;простой
сострадательный;свирепый
состязательность;партнёрство
состязаться;сотрудничать
сосуществовать;враждовать
сотоварищ;конкурент
сохраняться;тратиться
социализм;капитализм
социалистический;капиталистический
сочетаемость;несовместимость
сочетательность;несовместимость
сочленять;разъединять
сочность;разрежённость
сошествие;восхождение
союз;разъединение
спадение;увеличение
спасать;губить
спасаться;гибнуть
спасительность;пагубность
сперва;пот
спереди;сзади
специально;случайно
специальный;общий
специфический;общий
специфичность;общность
специфичный;одинаковый
спешность;медлительность
сплетать;расплетать
сплетаться;расплетаться
сползаться;расползаться
спонсор;мизантроп
спонсорство;мизантропия
спор;согласие
спорный;однозначный
спорый;медленный
спорить;сотрудничать
способность;несоответствие
спотычка;движение
справа;слева
справить;разобрать
справляться;подчиняться
справный;бедный
спрашивать;отвечать
спрос;ответ
спросить;ответить
спрямление;расширение
спурт;торможение
спускаться;повышаться
спутанный;связный
спутаться;распутаться
спячка;бодрствование
сравниваться;расслаиваться
сравнительный;абсолютный
сразу;постепенно
срамной;приличный
срастание;разъединение
сращивание;разъединение
сродниться;отвыкнуть
сродность;непохожесть
срок;краткость
ссора;примирение
ссориться;дружить
стабилизовать;подрывать
ставиться;передвигаться
стагнационный;развиваться
стагнировать;расцветать
становиться;передвигаться
стареть;молодеть
стариться;молодеть
стародавний;нынешний
стародедовский;новый
старт;финиш
стаскивать;рассеивать
стасовать;разделить
статичный;подвижный
статочный;невозможный
стачка;работа
стегать;ловить|параллельный
стеклянный;подвижный
стенд;отчисление
степенный;ветреный
стереться;найтись
стерпеться;отвыкнуть
стереть;оригинальный
стеснённый;лёгкий
стеснить;разрешить
стискивать;потворствовать
стих;мазня
стихать;подниматься
стихийность;сознательность
столковаться;спорить
столковываться;спорить
стопорить;ускорять
стопориться;ускоряться
стопроцентный;ненастоящий
сторонница;противница
стошнить;ввернуть
стоять;двигаться
стоячий;горизонтальный
странноватый;нормальный
стрельнуть;ссудить
стреляный;неопытный
стремительно;медлительно
стремительность;медлительность
строгий;ласково
строповка;ослабление
ступать;стоять
стыдливый;бесстыдный
стыдоба;честь
стынуть;нагреваться
стычка;согласие
стяжка;увеличение
стянуться;разъединиться
субординация;независимость
субсидиарный;основной
субстанциальный;неважный
субституция;оставление
субъективный;непредвзятый
суетность;успешность
сумасшедший;спокойный
суровость;мягкость
сухонький;мокрый
сушиться;мокнуть
сформироваться;распуститься
сходить;подниматься
сходиться;расходиться
сходность;различие
схожесть;несхожесть
сцементировать;разъединить
сцепить;разжать
сцепление;разъединение
счастливец;несчастливец
счастливо;несчастливо
считанный;всеобщий
съедобный;ядовитый
съезжаться;разъезжаться
сыгранность;раскоординация
сыпать;повышаться
сытно;голодно
сытный;растянутый
сытость;голод
сытый;голодный
сэкономить;потратить|растратить
сюда;отсюда
табуирование;разрешение
тайность;легальность
такт;бестактность
талантливо;бездарно
танкист;гражданский
тарабарский;понятный
тарарам;порядок
тахикардия;торможение
тащить;подчиняться
твердокаменность;слабость
твердь;вода
творение;разрушение
творец;разрушитель
творить;разрушать
твориться;разрушаться
творческий;разрушительный
тезаврирование;трата
тезис;антитезис
текстуальность;неточность
текстуальный;неточный
телевизор;свойственный
телесный;духовный
телодвижение;пассивность
темник;рядовой
темпераментный;пассивный
теневой;легальный
теоретик;практичный
теоретический;практический
тёпленький;холодный
теплолюбивый;морозостойкий
теплынь;холод
терминальный;начальный
тернистый;лёгкий
терпеть;созидать
терпимость;нетерпимость
терпкость;жёсткость
тереться;нынешний
теряться;находиться
теснить;потворствовать
тестировать;непроверенный
тиранский;добрый
тишина;шум
тишь;шум
тление;расцвет
тленный;бессмертный
товарищество;вражда
тогда;рано
тожественность;несхожесть
тожественный;последовательный
толкать;сдерживать
толкаться;останавливать
тонкий;толсто
топление;застывание
топорщиться;выпрямляться
торгашеский;неподкупный
торговать;закупать
торговец;покупатель
торжественность;будничность
торжество;будень
тори;либерал
торможение;отправление
торопливо;медлительно
торопливость;медлительность
торпедировать;усилить
тосковать;веселиться
тощий;толстый
трагедийный;смешной
трагизм;комизм
транжир;накопитель
транзитный;постоянный
трансгрессия;защита
трансзвуковой;сверхзвуковой
трансцендентный;познаваемый
требовательно;снисходительно
требовать;ненужный|отвечать
требоваться;ненужный
тревожить;успокаивать
тревожно;спокойно
тревожный;определённый
трезвость;пьянство
трение;согласие
трепливость;молчаливость
трескучесть;содержательность
третьесортный;хороший
трёхмерный;плоский
трехраздельный;ясность
триумф;поражение
триумфальный;пораженческий
трогаться;останавливаться
троглодит;знаток
трудность;лёгкость
трудоголик;бездельник
трудолюбивый;ленивый
трудолюбие;лень
тужить;радоваться
тужиться;выпрямляться
туманить;открывать
тунеядец;труженик
тупить;острить
тупица;умница
тупо;остро
тупость;острота
турнуть;включить
тускло;разнообразно
тусклость;яркость
тусклый;яркий
тут;там
тутошний;приходить
тучность;худоба
тушиться;рождаться
тщательный;поверхностный
тщета;результативность
тыл;фронт
тыловик;фронтовик
тыловой;фронтовой
тысячекратный;однократный
тюрьма;волить
тягать;отвечать
тягаться;партнёрский
тягость;удовольствие
тяжело;лёгкий
тяжеловесно;легковесно
тяжесть;облегчение
тянуть;сокращать
тянуться;сужаться
убавить;увеличенный
убавляться;растягиваться|увеличиваться
убедить;разубедить
убеждать;разубеждать
убеждённость;колебание
убежище;находить
уберечься;погибнуть
убийство;воскрешение
убирание;назначение
убитый;живой
ублюдочный;полноценный
убогий;богато|незаурядный
убогонький;богатый
убрать;соединить
убыль;поднятие
убыстриться;затормозиться
убыстряться;тормозиться
убыточность;выгодность
убыть;подняться
уважать;презирать
уважение;презрение
уважительно;презрительно
уважительный;презрительный
увал;наём
увековечить;неизвестный
увековечивать;злословить
увеличение;ослабление
увеличивать;снижать|укорачивать
увеличиваться;заканчивать
увеличительный;уменьшительный
увенчать;начать
увенчаться;начаться
уверить;разуверить
увёртливый;медленный
уверять;разуверять
увесистый;лёгкий
увешивание;открытие
увидать;проигнорировать
увиливание;участие
увиливать;участвовать
увлажнять;иссушать
увлекательно;скучно
увлекаться;свернуться
увлечённо;разочарованно
увоз;импорт
уволенный;зачислить
уволиться;устроиться
увядание;расцвет
увядать;увеличиваться
увядший;живой
увязать;раскоординировать
увязаться;разъединиться
увязывать;раскоординировать
увянуть;расцвести
угадливый;тупой
угловатый;равномерный
углубление;приход
углублённость;поверхностность
углубить;неполный
углубляться;верхоглядничать
угнетатель;освободитель
угнетать;освобождать
угодье;уничтожение
угрюмо;весело
угрюмость;весёлость
угрюмый;весёлый
удаваться;проваливаться
удаляться;приближаться
удар;бестактность
ударный;безрезультатный
удачник;неудачник
удачно;неудачно
удваивание;ослабление
удвоенный;одиночный
удержать;распалить
удерживать;опережать
удесятерить;уменьшить
удивительный;обыкновенный
удлинение;сужение
удлиниться;сократиться
удобно;неудобно
удобный;иррациональный
удобопереносимость;стабильность
удобопонятность;невразумительность
удобство;неудобство
удовлетвориться;поссориться
удовлетворять;недоставать
удовольствие;неудовлетворение
удостоверить;опровергнуть
удручать;оптимистичный
уединённый;многолюдный
уж;ещё
ужесточение;лёгкость
ужесточить;добрый
уживаться;враждовать
уживчивость;неподатливость
уживчивый;непокладистый
ужиматься;увеличиваться
узел;периферия
узиться;шириться
узкий;широкий
узнавать;отвечать
узнать;скрыть
указывать;опровергать
укладистый;маленький
укладка;разбрасывание
укладывание;разбрасывание
укладывать;распаковывать
укладываться;вставать
уклонение;участие
уклоняться;участвовать
укомплектовывать;расформировывать
укор;одобрение
укорачиваться;растягиваться
укоренение;ослабление
укоротить;присоединить
укрепить;ослабить
укреплять;откреплять
укрепляться;убывать
укрупнять;детализировать
укрывательство;предъявление
укрывать;открывать
укрытие;обличение
укрыть;обнаружить
укрыться;открыться
улавливать;присоединять
уладиться;отчислиться
улаживание;ссора
улетать;прилетать
улечься;встать
уличать;скрывать
уловка;честность
уложить;разбросанный
улыбаться;хмуриться
улыбка;слеза
улыбнуться;нахмуриться
ультра;новатор
умалиться;развернуться
умалчивание;выявление
умалять;преувеличивать
умаляться;подниматься
умелость;неработоспособность
умение;неумение
умерить;усилить
умериться;усилиться
умеряться;усиливаться
умилостивлять;волновать
уминать;выделять
умиротворённость;разжигание
умножаться;убывать
умозаключение;посылка
умозрительность;конкретность
умозрительный;апостериорный
умолчать;раскрыть
умонепостигаемый;понятный
умышленно;случайно
унарный;разнообразный
универсализировать;малоизвестный
унижать;возвышать
унижаться;возвышаться
унижение;возвышение
унизить;возвысить
унизиться;возвыситься
уник;банальность
унифицировать;разнообразный
уничтожаться;создаваться
уничтожиться;появиться
уныние;веселье
упадочный;прогрессивный
уплотняться;разрежаться
уплывать;приплывать
упорядоченность;хаотичность
упорядоченный;рассогласованный
употребительность;неприменимость
употребительный;нераспространённый
управление;подчинение
управленческий;подчиняться
управлять;подчиняться
упражнять;ухудшать
упразднить;создать
упразднять;создавать
упредить;промедлить
упрекать;хвалить
упростить;усложнить
упрочнение;ослабление
упрятать;обнаружить
упущение;тщательность
уравнение;размежевание
уравновешение;раскачивание
уравновешивание;колебание
урегулирование;ссора
урегулировать;неурегулированный
урез;увеличение
урод;красавец
уродство;красота
урон;прибыль
уронить;поднять
усваивание;потеря
усеивать;открывать
усердный;ленивый
усиливаться;скачкообразный
усилие;отдых
уславливаться;перечить
условный;безусловный
усложнить;упростить
усложниться;упроститься
услышаться;промолчать
усматривать;игнорировать
усовершенствованный;испортить
уставлять;освобождать
устало;бодро
усталость;бодрость
усталый;бодрый
устанавливаться;ослабевать
установить;уничтожить
установиться;закончиться
установление;выдворение
установлять;ликвидировать
устный;письменный
устраивать;портить
устранить;создать
устранимый;неотъемлемый
устыдиться;возгордиться
устье;исток
усыпительный;разнообразный
усыпить;пробудить
утаиться;найтись
утайка;афиширование
утаскивать;приносить
утвердиться;ослабеть
утверждение;запрещение
утекать;притекать
утеря;находка
утеснение;освобождение
утилитарный;теоретический
утихание;возникновение
утихомириваться;нагреваться
утихнуть;возгореться
утишать;развязывать
утолщать;утончать
утолять;усилить
утонение;расширение
утончать;утолщать
утопать;подниматься
утопизм;осуществимость
уторопить;тормозиться
уточнение;общность
уточнить;поломанный
утратиться;найтись
утренний;вечерний
утро;вечер
утруждение;лёгкость
утруска;прибыль
утрясание;вражда
ухаб;холм
ухищрение;упрощённость
ухудшаться;улучшаться
ухудшить;улучшить
уцелеть;погибнуть
участиться;заторможенный
участливый;пассивный
участник;чужой
участок;близость
ученица;воспитательница
учитывание;игнорирование
учить;отучать
учрежденьице;ликвидация
учтиво;грубо
учтивость;грубость
учтивый;грубый
уйти;нынешний
ущемление;равноправие
ущербность;полнота
уязвимый;неуязвимый
фабричный;кустарный
факультативный;обязательный
фальцовка;выпрямление
фальшиво;точно
фальшивость;правдивость
фальшивый;безопасный
фантасмагорический;простой
фантастически;реально
фантастично;реально
фант;реальность
фарисейство;истинность
фармазон;консервативный
фарс;трагедия
фасад;арьергард
федерация;разрозненность
феерический;реальный
фетишизация;презрение
фигурный;статичный
фидуциарный;недоверчивый
фиксированность;мобильность
фиксировать;распустить
фикция;подлинник
филантроп;мизантроп
филантропический;мизантропический
филантропия;мизантропия
филировать;частый
финитный;начальный
финишировать;стартовать
фирмовый;внутренний
флегматический;горячий
флюс;многосторонность
фокусирование;рассеивание
фондировать;короткий
фонический;немой
фонить;поглощать
формализм;конкретность
формация;капитализм
формирование;деградация
формировать;разбирать
формироваться;сдерживаться
форпост;арьергард
форт;тихий
фортуна;судьба
фотометрический;затемняться
фрагментарность;полнота
фрагментарный;полный
фрахтователь;наёмник
фрондировать;сопоставлять
фронт;тыл
фронтальный;частный
фронтовик;тыловик
фронтовой;тыловой
фугитивность;постоянство
фундаментальность;легковесность
функциональный;аморальный
фурор;неудача
халиф;подчинённый
хандра;повышение
ханжество;правдивость
характер;бесхарактерность
характерность;общность
хаять;хвалить
хвальба;порицание
хвост;голова
хвостовой;передний
хилый;здоровый
хипповый;обыкновенный
хитроумность;неприхотливость
хладнокровие;горячность
хладнокровный;горячий
хлипкость;прочность
ход;выход
ходить;стоять
ходячий;необыкновенный
хозяин;работник
хозяйский;неуверенный
холл;выход
холодать;теплеть
холодить;горячить
холодность;мягкость
холостяга;женатый
хормейстер;подчинённый
хорониться;находиться
хорошеть;дурнеть
храбрец;трус
храбриться;трусить
храбро;трусливо
хребтовый;боковой
худо;лёгкий
худощавость;толщина
хула;хвала
хулить;хвалить
царственный;жалкий
царствовать;подчиняться
цветистый;однородный
цвести;обанкротиться
целесообразный;глупый
целик;частично
целое;часть
целостный;односторонний
цементировать;разъединять
ценить;отрицать
ценность;второстепенность
централизация;разъединение
центробежный;центростремительный
цепляние;разъединение
церера;сев
циклон;антициклон
чадо;предок
чалить;стоять
чаровать;расколдовать
частичность;полнота
частность;общность
частушка;правда
часть;полностью
чахнуть;крепнуть
чеканить;целый
человеколюбец;человеконенавистник
человеконенавистнический;человечный
человечно;бесчеловечно
чепуховый;важный
червоточина;совершенство
червяк;значительность
через;ниже
чернеть;белеть
чернеться;белеться
черно;бело
черновик;беловик
чернота;белизна
чёрный;светлый
чёрствость;мягкость
чёрствый;мягкий
чётный;нечётный
численный;отсутствовать
чисто;грязно
чистота;грязь
чистюля;грязнуля
членимость;неразделимость
чтить;презирать
что;множественный
чугунный;лёгкий
чужестранка;соотечественница
чумной;обычный
чуткость;упрощённость
чуточка;много
чутьё;сознание
чушь;реальность
шагать;стоять
шаржирование;преуменьшение
шатание;постоянство|уверенность
швырять;ловить
швыряться;преувеличивать
шевелиться;медленно
шедевр;неудача
шёпот;крик
шептать;кричать
шероховато;гладкий
шероховатый;гладкий
шершаво;гладкий
шершавость;гладкость
шершавый;гладкий
шеф;подчинённый
ширить;сужать
широкий;узкий
шить;пороть
шифратор;дешифратор
шифровальщик;дешифратор
шифрование;декодирование
шифровать;декодировать
шнуровать;расшнуровывать
шнырнуть;выбежать
штабелирование;разбрасывание
штабель;мало
штабельный;непривычный
шталмейстер;младший
штампованность;необычность
штатный;неординарный
штатский;военный
штиль;шторм
штопать;рвать
штрейкбрехерский;верный
штучка;быль
шумно;тихий
шуруп;командир
шутейный;серьёзный
шутливо;серьёзно
шутливый;серьёзный
шуточный;серьёзный
щегольство;убожество
щедро;скупо
эвентуальность;невозможность
эвентуальный;невозможный
эволюция;деградация
эвритмия;неравномерность
эгоизм;альтруизм
эгоист;альтруист
эгоистически;альтруистически
эгоистический;альтруистический
экономно;расточительно
экономность;расточительность
экоцид;победа
эксперт;невежда
эксплицироваться;спрятаться
эксплозия;спад
экспортёр;импортёр
экстерн;лично
экстра;низкий
экстраполировать;уменьшать
экстремальный;лёгкий
эксцентричный;обыкновенный
эластичность;жёсткость
эластичный;жёсткий
элегантный;упростить
элементарность;сложность
элита;баз
эмбарго;разрешение
эмигрант;иммигрант
эндемический;пришлый
энтузиаст;противник
эпизод;закономерность
эпизодический;постоянный
эпилог;начало
эпический;реальный
эпохальный;маловажно
эрзац;подлинник
эрудированность;невежество
эрудиция;невежество
эскалация;уменьшение
эскизность;точность
эскизный;законченный
эстафета;параллельность
эстетный;безобразный
этак;точно
этакий;различный
эталонный;точный
юбилей;будень
ювелирность;поверхностность
ювелирный;поверхностный
юго-восток;северо-запад
юго-восточный;северо-западный
юго-запад;северо-восток
юго-западный;северо-восточный
